1685289964.1193287,465,333,press
1685289964.6236305,966,600,release
1685289965.3243492,556,23,press
1685289966.3887885,768,198,release
1685289967.0173326,1505,17,press
1685289967.811824,1146,91,release
1685289969.5693212,1898,76,press
1685289970.6075506,1508,775,release
1685289971.40581,895,791,press
1685289972.6703823,1245,544,release
1685289973.3255138,2207,7,press
1685289973.5295892,2205,12,release
1685289973.909315,2222,24,press
1685289974.4203355,1695,74,release
1685289975.618333,1866,56,press
1685289976.191328,1880,577,release
1685289976.6733043,1807,594,press
1685289977.73031,2177,177,release
1685289978.2699113,1747,271,press
1685289978.395013,1747,271,release
1685289978.9328585,1688,263,press
1685289980.2943144,1739,170,release
1685289981.1043131,2269,156,press
1685289981.1823258,2269,156,release
1685289982.9583378,735,193,press
1685289984.3703206,657,1002,release
